,provincia,poblacion,cp
1454,Illes Balears,Sant Joan de Labritja,07811
1455,Illes Balears,Sant Joan de Labritja,07812
1456,Illes Balears,Santa Eulñria des Riu,07814
1457,Illes Balears,Sant Joan de Labritja,07815
1458,Illes Balears,Sant Antoni de Portmany,07816
1459,Illes Balears,Sant Josep de sa Talaia,07817
1460,Illes Balears,Sant Josep de sa Talaia,07818
1461,Illes Balears,Santa Eulñria des Riu,07819
1462,Illes Balears,Sant Antoni de Portmany,07820
1463,Illes Balears,Sant Antoni de Portmany,07828
1464,Illes Balears,Sant Josep de sa Talaia,07829
1465,Illes Balears,Sant Josep de sa Talaia,07830
1466,Illes Balears,Sant Josep de sa Talaia,07839
1467,Illes Balears,Santa Eulñria des Riu,07840
1468,Illes Balears,Santa Eulñria des Riu,07849
1469,Illes Balears,Santa Eulñria des Riu,07850
1470,Illes Balears,Santanyí,07850
1471,Illes Balears,Formentera,07860
1472,Illes Balears,Formentera,07870
1473,Illes Balears,Formentera,07871
1474,Illes Balears,Formentera,07872
1475,Barcelona,Barcelona,08001
1476,Barcelona,Barcelona,08002
1477,Barcelona,Barcelona,08003
1478,Barcelona,Barcelona,08004
1479,Barcelona,Barcelona,08005
1480,Barcelona,Barcelona,08006
1481,Barcelona,Barcelona,08007
1482,Barcelona,Barcelona,08008
1483,Barcelona,Barcelona,08009
1484,Barcelona,Barcelona,08010
1485,Barcelona,Barcelona,08011
1486,Barcelona,Barcelona,08012
1487,Barcelona,Barcelona,08013
1488,Barcelona,Barcelona,08014
1489,Barcelona,Barcelona,08015
1490,Barcelona,Barcelona,08016
1491,Barcelona,Barcelona,08017
1492,Barcelona,Barcelona,08018
1493,Barcelona,Barcelona,08019
1494,Barcelona,Barcelona,08020
1495,Barcelona,Barcelona,08021
1496,Barcelona,Barcelona,08022
1497,Barcelona,Barcelona,08023
1498,Barcelona,Barcelona,08024
1499,Barcelona,Barcelona,08025
1500,Barcelona,Barcelona,08026
1501,Barcelona,Barcelona,08027
1502,Barcelona,Barcelona,08028
1503,Barcelona,Barcelona,08029
1504,Barcelona,Barcelona,08030
1505,Barcelona,Barcelona,08031
1506,Barcelona,Barcelona,08032
1507,Barcelona,Barcelona,08033
1508,Barcelona,Barcelona,08034
1509,Barcelona,Barcelona,08035
1510,Barcelona,Barcelona,08036
1511,Barcelona,Barcelona,08037
1512,Barcelona,Barcelona,08038
1513,Barcelona,Barcelona,08039
1514,Barcelona,Barcelona,08040
1515,Barcelona,Barcelona,08041
1516,Barcelona,Barcelona,08042
1517,Barcelona,Mollet del Vallñs,08100
1518,Barcelona,Mollet del Vallñs,08104
1519,Barcelona,Sant Fost de Campsentelles,08105
1520,Barcelona,Santa Maria de Martorelles,08106
1521,Barcelona,Martorelles,08107
1522,Barcelona,Montcada i Reixac,08110
1523,Barcelona,La Llagosta,08120
1524,Barcelona,Santa Perpñtua de Mogoda,08130
1525,Barcelona,Caldes de Montbui,08140
1526,Barcelona,Gallifa,08146
1527,Barcelona,L'Estany,08148
1528,Barcelona,Parets del Vallñs,08150
1529,Barcelona,Montmeló,08160
1530,Barcelona,Rubí,08161
1531,Barcelona,Montornñs del Vallñs,08170
1532,Barcelona,Sant Cugat del Vallñs,08172
1533,Barcelona,Sant Cugat del Vallñs,08173
1534,Barcelona,Sant Cugat del Vallñs,08174
1535,Barcelona,Sant Cugat del Vallñs,08175
1536,Barcelona,Collsuspina,08178
1537,Barcelona,Moiñ,08180
1538,Barcelona,Sentmenat,08181
1539,Barcelona,Sant Feliu de Codines,08182
1540,Barcelona,Castellterçol,08183
1541,Barcelona,Castellcir,08183
1542,Barcelona,Granera,08183
1543,Barcelona,Palau-solitñ i Plegamans,08184
1544,Barcelona,L'Estany,08184
1545,Barcelona,Lliçñ de Vall,08185
1546,Barcelona,Lliçñ d'Amunt,08186
1547,Barcelona,Santa Eulñlia de Ronçana,08187
1548,Barcelona,Vallromanes,08188
1549,Barcelona,Sant Quirze Safaja,08189
1550,Barcelona,Sant Cugat del Vallñs,08190
1551,Barcelona,Rubí,08191
1552,Barcelona,Sant Quirze del Vallñs,08192
1553,Barcelona,Cerdanyola del Vallñs,08193
1554,Barcelona,Sant Quirze del Vallñs,08194
1555,Barcelona,Sant Cugat del Vallñs,08195
1556,Barcelona,Sant Cugat del Vallñs,08196
1557,Barcelona,Sant Cugat del Vallñs,08197
1558,Barcelona,Sant Cugat del Vallñs,08198
1559,Barcelona,Sabadell,08201
1560,Barcelona,Sabadell,08202
1561,Barcelona,Sabadell,08203
1562,Barcelona,Sabadell,08204
1563,Barcelona,Sabadell,08205
1564,Barcelona,Sabadell,08206
1565,Barcelona,Sabadell,08207
1566,Barcelona,Sabadell,08208
1567,Barcelona,Barberñ del Vallñs,08210
1568,Barcelona,Castellar del Vallñs,08211
1569,Barcelona,Sant Llorenç Savall,08212
1570,Barcelona,Polinyñ,08213
1571,Barcelona,Badia del Vallñs,08214
1572,Barcelona,Sant Boi de Llobregat,08220
1573,Barcelona,Terrassa,08221
1574,Barcelona,Terrassa,08222
1575,Barcelona,Terrassa,08223
1576,Barcelona,Terrassa,08224
1577,Barcelona,Terrassa,08225
1578,Barcelona,Terrassa,08226
1579,Barcelona,Terrassa,08227
1580,Barcelona,Terrassa,08228
1581,Barcelona,Sant Quirze del Vallñs,08228
1582,Barcelona,Matadepera,08230
1583,Barcelona,Ullastrell,08231
1584,Barcelona,Viladecavalls,08232
1585,Barcelona,Vacarisses,08233
1586,Barcelona,Manresa,08240
1587,Barcelona,Manresa,08241
1588,Barcelona,Manresa,08242
1589,Barcelona,Manresa,08243
1590,Barcelona,Sant Joan de Vilatorrada,08250
1591,Barcelona,Castellnou de Bages,08251
1592,Barcelona,Santpedor,08251
1593,Barcelona,Sant Salvador de Guardiola,08253
1594,Barcelona,El Pont de Vilomara i Rocafort,08254
1595,Barcelona,Castellfollit del Boix,08255
1596,Barcelona,Rajadell,08256
1597,Barcelona,Aguilar de Segarra,08256
1598,Barcelona,Fonollosa,08259
1599,Barcelona,Súria,08260
1600,Barcelona,Cardona,08261
1601,Barcelona,Callús,08262
1602,Barcelona,Sant Mateu de Bages,08263
1603,Barcelona,Sant Mateu de Bages,08269
1604,Barcelona,Navñs,08269
1605,Barcelona,Navarcles,08270
1606,Barcelona,Artés,08271
1607,Barcelona,Sant Fruitós de Bages,08272
1608,Barcelona,Santa Maria d'Oló,08273
1609,Barcelona,Sant Feliu Sasserra,08274
1610,Barcelona,Monistrol de Calders,08275
1611,Barcelona,Calders,08275
1612,Barcelona,Mura,08278
1613,Barcelona,Talamanca,08278
1614,Barcelona,Avinyó,08279
1615,Barcelona,Calaf,08280
1616,Lleida,La Molsosa,08281
1617,Barcelona,Sant Pere Sallavinera,08281
1618,Barcelona,Calonge de Segarra,08281
1619,Barcelona,Castellfollit de Riubregós,08281
1620,Barcelona,Els Prats de Rei,08281
1621,Barcelona,Sant Martí Sesgueioles,08282
1622,Barcelona,Pujalt,08282
1623,Lleida,Sant Guim de Freixenet,08289
1624,Barcelona,Veciana,08289
1625,Barcelona,Copons,08289
1626,Barcelona,Cerdanyola del Vallñs,08290
1627,Barcelona,Ripollet,08291
1628,Barcelona,Esparreguera,08292
1629,Barcelona,Collbató,08293
1630,Barcelona,El Bruc,08294
1631,Barcelona,Sant Vicenç de Castellet,08295
1632,Barcelona,Castellbell i el Vilar,08296
1633,Barcelona,Castellgalí,08297
1634,Barcelona,Marganell,08298
1635,Barcelona,Rellinars,08299
1636,Barcelona,Mataró,08301
1637,Barcelona,Mataró,08302
1638,Barcelona,Mataró,08303
1639,Barcelona,Mataró,08304
1640,Barcelona,Argentona,08310
1641,Barcelona,ñrrius,08317
1642,Barcelona,Dosrius,08318
1643,Barcelona,Dosrius,08319
1644,Barcelona,El Masnou,08320
1645,Barcelona,Alella,08328
1646,Barcelona,Teiñ,08329
1647,Barcelona,Premiñ de Mar,08330
1648,Barcelona,Premiñ de Dalt,08338
1649,Barcelona,Vilassar de Dalt,08339
1650,Barcelona,Vilassar de Mar,08340
1651,Barcelona,Cabrils,08348
1652,Barcelona,Cabrera de Mar,08349
1653,Barcelona,Arenys de Mar,08350
1654,Barcelona,Arenys de Munt,08350
1655,Barcelona,Arenys de Munt,08358
1656,Barcelona,Sant Iscle de Vallalta,08359
1657,Barcelona,Canet de Mar,08360
1658,Barcelona,Calella,08370
1659,Barcelona,Malgrat de Mar,08380
1660,Barcelona,Cabrils,08384
1661,Barcelona,Palafolls,08389
1662,Barcelona,Montgat,08390
1663,Barcelona,Tiana,08391
1664,Barcelona,Sant Andreu de Llavaneres,08392
1665,Barcelona,Caldes d'Estrac,08393
1666,Barcelona,Sant Vicenç de Montalt,08394
1667,Barcelona,Sant Pol de Mar,08395
1668,Barcelona,Sant Cebriñ de Vallalta,08396
1669,Barcelona,Pineda de Mar,08397
1670,Barcelona,Santa Susanna,08398
1671,Barcelona,Granollers,08401
1672,Barcelona,Granollers,08402
1673,Barcelona,Granollers,08403
1674,Barcelona,Vilanova del Vallñs,08410
1675,Barcelona,Bigues i Riells,08415
1676,Barcelona,Bigues i Riells,08416
1677,Barcelona,Canovelles,08420
1678,Barcelona,La Roca del Vallñs,08430
1679,Barcelona,Cardedeu,08440
1680,Barcelona,Cñnoves i Samalús,08440
1681,Barcelona,Cñnoves i Samalús,08445
1682,Barcelona,Llinars del Vallñs,08450
1683,Barcelona,Vilalba Sasserra,08455
1684,Barcelona,Sant Pere de Vilamajor,08458
1685,Barcelona,Sant Llorenç Savall,08458
1686,Barcelona,Sant Antoni de Vilamajor,08459
1687,Barcelona,Sant Pere de Vilamajor,08459
1688,Barcelona,Santa Maria de Palautordera,08460
1689,Barcelona,Sant Pere de Vilamajor,08460
1690,Barcelona,Sant Esteve de Palautordera,08460
1691,Barcelona,Sant Esteve de Palautordera,08461
1692,Barcelona,Montseny,08469
1693,Barcelona,Vallgorguina,08470
1694,Barcelona,Fogars de Montclús,08470
1695,Barcelona,Campins,08470
1696,Barcelona,Sant Celoni,08470
1697,Barcelona,Vallgorguina,08471
1698,Barcelona,Campins,08472
1699,Barcelona,Gualba,08474
1700,Barcelona,Sant Celoni,08476
1701,Barcelona,Fogars de Montclús,08479
1702,Barcelona,L'Ametlla del Vallñs,08480
1703,Barcelona,Tordera,08490
1704,Barcelona,Fogars de la Selva,08495
1705,Barcelona,Vic,08500
1706,Barcelona,Gurb,08503
1707,Barcelona,Sant Juliñ de Vilatorta,08504
1708,Barcelona,Santa Eulñlia de Riuprimer,08505
1709,Barcelona,Muntanyola,08505
1710,Barcelona,Calldetenes,08506
1711,Barcelona,Santa Eugñnia de Berga,08507
1712,Barcelona,Sant Quirze de Besora,08508
1713,Barcelona,Les Masies de Voltregñ,08508
1714,Barcelona,Les Masies de Voltregñ,08509
1715,Barcelona,Santa Cecília de Voltregñ,08509
1716,Barcelona,Roda de Ter,08510
1717,Barcelona,Les Masies de Roda,08510
1718,Barcelona,Tavertet,08511
1719,Barcelona,L'Esquirol,08511
1720,Barcelona,Sant Hipñlit de Voltregñ,08512
1721,Barcelona,Prats de Lluçanñs,08513
1722,Barcelona,Lluçñ,08514
1723,Barcelona,Sant Martí d'Albars,08515
1724,Barcelona,Olost,08516
1725,Barcelona,Santa Maria de Merlñs,08517
1726,Barcelona,Oristñ,08518
1727,Barcelona,Sant Sadurní d'Osormort,08519
1728,Barcelona,Jorba,08519
1729,Barcelona,Tavñrnoles,08519
1730,Barcelona,Vilanova de Sau,08519
1731,Barcelona,Sant Bartomeu del Grau,08519
1732,Barcelona,Vic,08519
1733,Barcelona,Folgueroles,08519
1734,Barcelona,Malla,08519
1735,Barcelona,Les Franqueses del Vallñs,08520
1736,Barcelona,Les Franqueses del Vallñs,08521
1737,Barcelona,Muntanyola,08529
1738,Barcelona,La Garriga,08530
1739,Barcelona,Cñnoves i Samalús,08530
1740,Barcelona,Centelles,08540
1741,Barcelona,Balenyñ,08550
1742,Barcelona,Tona,08551
1743,Barcelona,Taradell,08552
1744,Barcelona,Seva,08553
1745,Barcelona,Seva,08554
1746,Barcelona,El Brull,08559
1747,Barcelona,Manlleu,08560
1748,Barcelona,Rupit i Pruit,08569
1749,Barcelona,L'Esquirol,08569
1750,Barcelona,Torelló,08570
1751,Barcelona,Sant Vicenç de Torelló,08571
1752,Barcelona,Sant Pere de Torelló,08572
1753,Barcelona,Orís,08573
1754,Barcelona,Sant Quirze de Besora,08580
1755,Barcelona,Santa Maria de Besora,08584
1756,Barcelona,Alpens,08587
1757,Barcelona,Sora,08588
1758,Barcelona,Santa Maria de Besora,08589
1759,Barcelona,Perafita,08589
1760,Barcelona,Sant Boi de Lluçanñs,08589
1761,Barcelona,Sobremunt,08589
1762,Barcelona,Montesquiu,08589
1763,Barcelona,Sant Agustí de Lluçanñs,08589
1764,Barcelona,Figaró-Montmany,08590
1765,Barcelona,Aiguafreda,08591
1766,Barcelona,Sant Martí de Centelles,08592
1767,Barcelona,Tagamanent,08593
1768,Barcelona,Berga,08600
1769,Barcelona,Castell de l'Areny,08604
1770,Barcelona,Montclar,08605
1771,Barcelona,Aviñ,08610
1772,Barcelona,Olvan,08611
1773,Barcelona,Montmajor,08612
1774,Barcelona,Vilada,08613
1775,Barcelona,L'Espunyola,08614
1776,Barcelona,La Quar,08619
1777,Barcelona,Borredñ,08619
1778,Barcelona,Santa Maria de Merlñs,08619
1779,Barcelona,Castellar del Riu,08619
1780,Barcelona,Sant Jaume de Frontanyñ,08619
1781,Barcelona,Capolat,08619
1782,Barcelona,Sagñs,08619
1783,Barcelona,Sant Vicenç dels Horts,08620
1784,Barcelona,Torrelles de Llobregat,08629
1785,Barcelona,Abrera,08630
1786,Barcelona,Sant Esteve Sesrovires,08635
1787,Barcelona,Olesa de Montserrat,08640
1788,Barcelona,Sallent,08650
1789,Barcelona,Balsareny,08660
1790,Barcelona,Navñs,08670
1791,Barcelona,Gaiñ,08672
1792,Barcelona,Viver i Serrateix,08673
1793,Barcelona,Gironella,08680
1794,Barcelona,Santa Coloma de Cervelló,08690
1795,Barcelona,Monistrol de Montserrat,08691
1796,Barcelona,Puig-reig,08692
1797,Barcelona,Casserres,08693
1798,Barcelona,Guardiola de Berguedñ,08694
1799,Barcelona,Sant Juliñ de Cerdanyola,08694
1800,Barcelona,Gisclareny,08695
1801,Barcelona,Bagñ,08695
1802,Barcelona,Castellar de n'Hug,08696
1803,Barcelona,La Pobla de Lillet,08696
1804,Lleida,Josa i Tuixén,08697
1805,Barcelona,Saldes,08697
1806,Barcelona,La Nou de Berguedñ,08698
1807,Barcelona,Cercs,08698
1808,Barcelona,Aviñ,08699
1809,Barcelona,Fígols,08699
1810,Barcelona,Saldes,08699
1811,Barcelona,Olvan,08699
1812,Barcelona,Vallcebre,08699
1813,Barcelona,Igualada,08700
1814,Barcelona,Santa Margarida de Montbui,08710
1815,Barcelona,ñdena,08711
1816,Barcelona,Sant Martí de Tous,08712
1817,Barcelona,Montmaneu,08717
1818,Barcelona,Argençola,08717
1819,Lleida,Talavera,08717
1820,Barcelona,Cabrera d'Anoia,08718
1821,Barcelona,Rubió,08719
1822,Barcelona,Jorba,08719
1823,Barcelona,Castellolí,08719
1824,Barcelona,Vilafranca del Penedñs,08720
1825,Barcelona,Castellet i la Gornal,08729
1826,Barcelona,Santa Margarida i els Monjos,08730
1827,Barcelona,Sant Martí Sarroca,08731
1828,Barcelona,Avinyonet del Penedñs,08731
1829,Barcelona,Castellet i la Gornal,08732
1830,Barcelona,Castellví de la Marca,08732
1831,Barcelona,El Pla del Penedñs,08733
1832,Barcelona,Avinyonet del Penedñs,08734
1833,Barcelona,Olñrdola,08734
1834,Barcelona,Vilobí del Penedñs,08735
1835,Barcelona,Font-rubí,08736
1836,Barcelona,Torrelles de Foix,08737
1837,Barcelona,Pontons,08738
1838,Barcelona,Subirats,08739
1839,Barcelona,Font-rubí,08739
1840,Barcelona,Sant Andreu de la Barca,08740
1841,Barcelona,Molins de Rei,08750
1842,Barcelona,Pallejñ,08753
1843,Barcelona,El Papiol,08754
1844,Barcelona,Castellbisbal,08755
1845,Barcelona,La Palma de Cervelló,08756
1846,Barcelona,Corbera de Llobregat,08757
1847,Barcelona,Cervelló,08758
1848,Barcelona,Vallirana,08759
1849,Barcelona,Martorell,08760
1850,Barcelona,Castellví de Rosanes,08769
1851,Barcelona,Sant Sadurní d'Anoia,08770
1852,Barcelona,Sant Celoni,08770
1853,Barcelona,Mediona,08773
1854,Barcelona,Torrelavit,08775
1855,Barcelona,Sant Pere de Riudebitlles,08776
1856,Barcelona,Sant Quintí de Mediona,08777
1857,Barcelona,La Llacuna,08779
1858,Barcelona,Pallejñ,08780
1859,Barcelona,Els Hostalets de Pierola,08781
1860,Barcelona,Masquefa,08782
1861,Barcelona,Sant Esteve Sesrovires,08782
1862,Barcelona,Masquefa,08783
1863,Barcelona,Piera,08784
1864,Barcelona,Vallbona d'Anoia,08785
1865,Barcelona,Capellades,08786
1866,Barcelona,La Pobla de Claramunt,08787
1867,Barcelona,Santa Maria de Miralles,08787
1868,Barcelona,Orpí,08787
1869,Barcelona,Carme,08787
1870,Barcelona,Vilanova del Camí,08788
1871,Barcelona,La Torre de Claramunt,08789
1872,Barcelona,Gelida,08790
1873,Barcelona,Sant Llorenç d'Hortons,08791
1874,Barcelona,Santa Fe del Penedñs,08792
1875,Barcelona,La Granada,08792
1876,Barcelona,Avinyonet del Penedñs,08793
1877,Barcelona,Les Cabanyes,08794
1878,Barcelona,Olesa de Bonesvalls,08795
1879,Barcelona,Pacs del Penedñs,08796
1880,Barcelona,Puigdñlber,08797
1881,Barcelona,Sant Cugat Sesgarrigues,08798
1882,Barcelona,Avinyonet del Penedñs,08798
1883,Barcelona,Olñrdola,08799
1884,Barcelona,Vilanova i la Geltrú,08800
1885,Barcelona,Terrassa,08801
1886,Barcelona,Sant Pere de Ribes,08810
1887,Barcelona,Canyelles,08811
1888,Barcelona,Sant Pere de Ribes,08812
1889,Barcelona,Olivella,08818
1890,Barcelona,El Prat de Llobregat,08820
1891,Barcelona,Sant Boi de Llobregat,08830
1892,Barcelona,Viladecans,08840
1893,Barcelona,Sant Climent de Llobregat,08849
1894,Barcelona,Gavñ,08850
1895,Barcelona,Begues,08859
1896,Barcelona,Castelldefels,08860
1897,Barcelona,Sitges,08870
1898,Barcelona,Sitges,08871
1899,Barcelona,Cubelles,08880
1900,Barcelona,L'Hospitalet de Llobregat,08901
1901,Barcelona,L'Hospitalet de Llobregat,08902
1902,Barcelona,L'Hospitalet de Llobregat,08903
1903,Barcelona,L'Hospitalet de Llobregat,08904
1904,Barcelona,L'Hospitalet de Llobregat,08905
1905,Barcelona,L'Hospitalet de Llobregat,08906
1906,Barcelona,L'Hospitalet de Llobregat,08907
1907,Barcelona,L'Hospitalet de Llobregat,08908
1908,Barcelona,Badalona,08911
1909,Barcelona,Badalona,08912
1910,Barcelona,Badalona,08913
1911,Barcelona,Badalona,08914
1912,Barcelona,Badalona,08915
1913,Barcelona,Badalona,08916
1914,Barcelona,Badalona,08917
1915,Barcelona,Badalona,08918
1916,Barcelona,Santa Coloma de Gramenet,08921
1917,Barcelona,Santa Coloma de Gramenet,08922
1918,Barcelona,Santa Coloma de Gramenet,08923
1919,Barcelona,Santa Coloma de Gramenet,08924
1920,Barcelona,Sant Adriñ de Besñs,08930
1921,Barcelona,Cornellñ de Llobregat,08940
1922,Barcelona,Esplugues de Llobregat,08950
1923,Barcelona,Sant Just Desvern,08960
1924,Barcelona,Sant Joan Despí,08970
1925,Barcelona,Sant Feliu de Llobregat,08980
1926,Burgos,Burgos,09001
1927,Burgos,Burgos,09002
1928,Burgos,Burgos,09003
1929,Burgos,Burgos,09004
1930,Burgos,Sotragero,09004
1931,Burgos,Burgos,09005
1932,Burgos,Burgos,09006
1933,Burgos,Burgos,09007
1934,Burgos,Melgar de Fernamental,09100
1935,Burgos,Palacios de Riopisuerga,09107
1936,Burgos,Arenillas de Riopisuerga,09107
1937,Burgos,Castrillo Mota de Judíos,09107
1938,Burgos,Itero del Castillo,09107
1939,Burgos,Rezmondo,09108
1940,Burgos,Padilla de Arriba,09108
1941,Burgos,Castrillo de Riopisuerga,09108
1942,Burgos,Melgar de Fernamental,09108
1943,Burgos,Zarzosa de Río Pisuerga,09108
1944,Burgos,Sasamón,09109
1945,Burgos,Padilla de Abajo,09109
1946,Burgos,Castrojeriz,09109
1947,Burgos,Villasandino,09109
1948,Burgos,Castrojeriz,09110
1949,Burgos,Los Balbases,09119
1950,Burgos,Castrojeriz,09119
1951,Burgos,Pedrosa del Príncipe,09119
1952,Burgos,Villaquirán de la Puebla,09119
1953,Burgos,Villadiego,09120
1954,Burgos,Melgar de Fernamental,09121
1955,Burgos,Sasamón,09123
1956,Burgos,Villadiego,09124
1957,Burgos,Humada,09124
1958,Burgos,Huérmeces,09125
1959,Burgos,Úrbel del Castillo,09125
1960,Burgos,Villadiego,09125
1961,Burgos,Montorio,09125
1962,Burgos,Basconcillos del Tozo,09125
1963,Burgos,Humada,09126
1964,Burgos,Basconcillos del Tozo,09126
1965,Burgos,Valle de Valdelucio,09127
1966,Burgos,Basconcillos del Tozo,09127
1967,Burgos,Ibeas de Juarros,09128
1968,Burgos,Sordillos,09128
1969,Burgos,Villamayor de Treviño,09128
1970,Burgos,Villadiego,09128
1971,Burgos,Grijalba,09128
1972,Burgos,Villegas,09128
1973,Burgos,Villadiego,09129
1974,Burgos,Rabé de las Calzadas,09130
1975,Burgos,Tardajos,09130
1976,Burgos,Pedrosa de Río Úrbel,09131
1977,Burgos,Valle de Santibáñez,09131
1978,Burgos,Las Quintanillas,09131
1979,Burgos,Alfoz de Quintanadueñas,09131
1980,Burgos,Susinos del Páramo,09133
1981,Burgos,Villadiego,09133
1982,Burgos,Pedrosa del Páramo,09133
1983,Burgos,Manciles,09133
1984,Burgos,Isar,09133
1985,Burgos,Las Hormazas,09133
1986,Burgos,Tobar,09133
1987,Burgos,Sotresgudo,09135
1988,Burgos,Sotresgudo,09136
1989,Burgos,Merindad de Río Ubierna,09140
1990,Burgos,Quintanaortuño,09140
1991,Burgos,Quintanilla Vivar,09140
1992,Burgos,Merindad de Río Ubierna,09141
1993,Burgos,Abajas,09141
1994,Burgos,Valle de Sedano,09142
1995,Burgos,Merindad de Río Ubierna,09142
1996,Burgos,Tubilla del Agua,09143
1997,Burgos,Sargentes de la Lora,09143
1998,Burgos,Sargentes de la Lora,09144
1999,Burgos,Tubilla del Agua,09145
2000,Burgos,Valle de Sedano,09145
2001,Burgos,Sargentes de la Lora,09145
2002,Burgos,Valle de Sedano,09146
2003,Burgos,Valle de Zamanzas,09146
2004,Burgos,Los Altos,09146
2005,Burgos,Las Hormazas,09150
2006,Burgos,Huérmeces,09150
2007,Burgos,Valle de Santibáñez,09150
2008,Burgos,Valle de Santibáñez,09159
2009,Burgos,Villayerno Morquillas,09191
2010,Burgos,Hurones,09191
2011,Burgos,Valle de las Navas,09191
2012,Burgos,Cardeñuela Riopico,09192
2013,Burgos,Orbaneja Riopico,09192
2014,Burgos,Burgos,09192
2015,Burgos,Carcedo de Burgos,09193
2016,Burgos,Cardeñajimeno,09193
2017,Burgos,Castrillo del Val,09193
2018,Burgos,Burgos,09193
2019,Burgos,Los Ausines,09194
2020,Burgos,Ibeas de Juarros,09194
2021,Burgos,Carcedo de Burgos,09194
2022,Burgos,Revilla del Campo,09194
2023,Burgos,Cardeñadijo,09194
2024,Burgos,Villagonzalo Pedernales,09195
2025,Burgos,Villalbilla de Burgos,09195
2026,Burgos,Villariezo,09195
2027,Burgos,Arcos,09195
2028,Burgos,Villaescusa la Sombría,09197
2029,Burgos,Merindad de Río Ubierna,09197
2030,Burgos,Alfoz de Quintanadueñas,09197
2031,Burgos,Villalbilla de Burgos,09197
2032,Burgos,Sotragero,09197
2033,Burgos,San Adrián de Juarros,09198
2034,Burgos,Ibeas de Juarros,09198
2035,Burgos,Castrillo del Val,09198
2036,Burgos,Rábanos,09199
2037,Burgos,Arlanzón,09199
2038,Burgos,Rubena,09199
2039,Burgos,Villasur de Herreros,09199
2040,Burgos,Burgos,09199
2041,Burgos,Barrios de Colina,09199
2042,Burgos,Cardeñajimeno,09199
2043,Burgos,Pineda de la Sierra,09199
2044,Burgos,Atapuerca,09199
2045,Burgos,Miranda de Ebro,09200
2046,Burgos,Valle de Tobalina,09210
2047,Burgos,Frías,09211
2048,Burgos,Partido de la Sierra en Tobalina,09211
2049,Burgos,Oña,09211
2050,Burgos,Valle de Tobalina,09211
2051,Burgos,Valle de Tobalina,09212
2052,Burgos,Miranda de Ebro,09212
2053,Burgos,Merindad de Cuesta-Urria,09212
2054,Burgos,Cillaperlata,09213
2055,Burgos,Valle de Tobalina,09213
2056,Burgos,Trespaderne,09213
2057,Burgos,Bozoó,09214
2058,Burgos,Condado de Treviño,09215
2059,Burgos,Condado de Treviño,09216
2060,Burgos,Condado de Treviño,09217
2061,Burgos,Condado de Treviño,09218
2062,Burgos,Miranda de Ebro,09218
2063,Burgos,Altable,09219
2064,Burgos,Villanueva de Teba,09219
2065,Burgos,Santa María Rivarredonda,09219
2066,Burgos,Bozoó,09219
2067,Burgos,Santa Gadea del Cid,09219
2068,Burgos,Valluércanes,09219
2069,Burgos,Encío,09219
2070,Burgos,Ameyugo,09219
2071,Burgos,Miranda de Ebro,09219
2072,Burgos,Pampliega,09220
2073,Burgos,Villaquirán de los Infantes,09226
2074,Burgos,Barrio de Muñó,09226
2075,Burgos,Belbimbre,09226
2076,Burgos,Villazopeque,09226
2077,Burgos,Pampliega,09226
2078,Burgos,Celada del Camino,09226
2079,Burgos,Villaverde-Mogina,09226
2080,Burgos,Palazuelos de Muñó,09226
2081,Burgos,Iglesias,09227
2082,Burgos,Villaldemiro,09227
2083,Burgos,Castellanos de Castro,09227
2084,Burgos,Hontanas,09227
2085,Burgos,Tamarón,09227
2086,Burgos,Villaverde del Monte,09228
2087,Burgos,Mahamud,09228
2088,Burgos,Presencio,09228
2089,Burgos,Mazuela,09228
2090,Burgos,Ciadoncha,09228
2091,Burgos,Olmillos de Muñó,09228
2092,Burgos,San Mamés de Burgos,09230
2093,Burgos,Buniel,09230
2094,Burgos,Hornillos del Camino,09230
2095,Burgos,Estépar,09230
2096,Burgos,Frandovínez,09230
2097,Burgos,Alfoz de Bricia,09233
2098,Burgos,Cayuela,09239
2099,Burgos,Arcos,09239
2100,Burgos,Estépar,09239
2101,Burgos,Albillos,09239
2102,Burgos,Cavia,09239
2103,Burgos,Briviesca,09240
2104,Burgos,Fuentebureba,09244
2105,Burgos,Busto de Bureba,09244
2106,Burgos,Quintanaélez,09244
2107,Burgos,Grisaleña,09245
2108,Burgos,Vallarta de Bureba,09245
2109,Burgos,Zuñeda,09245
2110,Burgos,Briviesca,09245
2111,Burgos,Berzosa de Bureba,09245
2112,Burgos,Llano de Bureba,09246
2113,Burgos,Quintanabureba,09246
2114,Burgos,Rojas,09246
2115,Burgos,Carcedo de Bureba,09246
2116,Burgos,Piérnigas,09246
2117,Burgos,Oña,09246
2118,Burgos,Poza de la Sal,09246
2119,Burgos,Los Barrios de Bureba,09246
2120,Burgos,Galbarros,09247
2121,Burgos,Salinillas de Bureba,09247
2122,Burgos,Briviesca,09248
2123,Burgos,Carrias,09248
2124,Burgos,Reinoso,09248
2125,Burgos,Prádanos de Bureba,09248
2126,Burgos,Belorado,09248
2127,Burgos,Bañuelos de Bureba,09248
2128,Burgos,Aguilar de Bureba,09249
2129,Burgos,Oña,09249
2130,Burgos,Los Barrios de Bureba,09249
2131,Burgos,Vileña,09249
2132,Burgos,Navas de Bureba,09249
2133,Burgos,Briviesca,09249
2134,Burgos,La Vid de Bureba,09249
2135,Burgos,Belorado,09250
2136,Burgos,Cubo de Bureba,09251
